date,dominance_btc,ratio_eth_btc
2017-12-23,50.7219,0.0486324
2017-12-24,50.431,0.04911406
2017-12-25,50.0941,0.05240378
2017-12-26,52.0171,0.04768844
2017-12-27,50.1546,0.04813319
2017-12-28,48.2732,0.05013156
2017-12-29,41.9763,0.05127047
2017-12-30,39.4273,0.05512383
2017-12-31,40.4551,0.05331728
2018-01-01,38.455,0.05615234
2018-01-02,38.2221,0.05855357
2018-01-03,33.4358,0.06286676
2018-01-04,34.2066,0.06319413
2018-01-05,38.8413,0.05639466
2018-01-06,37.4786,0.05882727
2018-01-07,35.1741,0.06794666
2018-01-08,35.317,0.07596355
2018-01-09,35.8787,0.08960595
2018-01-10,37.2971,0.08397027
2018-01-11,35.9917,0.08558314
2018-01-12,34.7584,0.09117345
2018-01-13,34.8967,0.09698002
2018-01-14,35.2502,0.09954744
2018-01-15,36.8152,0.0943018
2018-01-16,39.3268,0.09283382
2018-01-17,37.7997,0.09074
2018-01-18,35.7176,0.09058895
2018-01-19,36.2331,0.09002722
2018-01-20,37.2713,0.09021844
2018-01-21,37.7007,0.09099872
2018-01-22,37.0974,0.09239127
2018-01-23,37.0214,0.09080811
2018-01-24,36.734,0.0932772
2018-01-25,36.5427,0.09376264
2018-01-26,36.9247,0.09428327
2018-01-27,37.1917,0.09652602
2018-01-28,35.8595,0.10458296
2018-01-29,36.3123,0.10437931
2018-01-30,36.7885,0.10562062
2018-01-31,36.1475,0.10907857
2018-02-01,36.6474,0.11274184
2018-02-02,37.8802,0.10389402
2018-02-03,37.3544,0.10522156
2018-02-04,38.0915,0.10140837
2018-02-05,38.3615,0.10114001
2018-02-06,38.0258,0.10196141
2018-02-07,39.0513,0.09896087
2018-02-08,39.1427,0.09836864
2018-02-09,37.7396,0.10086855
2018-02-10,36.4718,0.09972868
2018-02-11,36.6451,0.10063117
2018-02-12,37.2134,0.09739611
2018-02-13,36.9653,0.09855632
2018-02-14,36.5168,0.09722556
2018-02-15,38.057,0.09200492
2018-02-16,38.1194,0.09218866
2018-02-17,38.9424,0.08797286
2018-02-18,39.4862,0.08757203
2018-02-19,40.3625,0.0841916
2018-02-20,42.3599,0.07874431
2018-02-21,42.0313,0.08037842
2018-02-22,42.0277,0.08170317
2018-02-23,41.4553,0.0842368
2018-02-24,41.2793,0.0860986
2018-02-25,40.812,0.08771132
2018-02-26,41.9451,0.08396357
2018-02-27,42.6085,0.08213292
2018-02-28,42.9555,0.08259645
2018-03-01,43.6598,0.07957997
2018-03-02,44.3727,0.0776601
2018-03-03,45.0443,0.07477783
2018-03-04,43.7976,0.07512536
2018-03-05,44.7126,0.07379202
2018-03-06,44.0989,0.0760835
2018-03-07,43.6599,0.07591112
2018-03-08,43.6717,0.07495196
2018-03-09,42.9422,0.07817418
2018-03-10,43.0505,0.07794638
2018-03-11,43.8084,0.07547717
2018-03-12,43.734,0.07616393
2018-03-13,43.9332,0.07531236
2018-03-14,44.3618,0.07447375
2018-03-15,44.645,0.07391422
2018-03-16,45.2095,0.07216082
2018-03-17,46.0278,0.06989199
2018-03-18,46.5701,0.06572967
2018-03-19,46.0081,0.06444151
2018-03-20,46.6905,0.06246234
2018-03-21,47.2009,0.0627729
2018-03-22,47.5833,0.06189126
2018-03-23,48.1941,0.06128687
2018-03-24,47.9585,0.06097818
2018-03-25,47.422,0.06187026
2018-03-26,48.1866,0.0599445
2018-03-27,48.5733,0.05748811
2018-03-28,48.9792,0.05614799
2018-03-29,49.4908,0.05421012
2018-03-30,48.6563,0.05744417
2018-03-31,48.505,0.05699167
2018-04-01,48.9189,0.05556098
2018-04-02,48.8651,0.05451209
2018-04-03,48.0374,0.05595285
2018-04-04,48.6063,0.05582589
2018-04-05,48.6241,0.05629259
2018-04-06,48.882,0.05596206
2018-04-07,49.018,0.05583518
2018-04-08,48.6813,0.056978
2018-04-09,48.3475,0.05880536
2018-04-10,48.1261,0.06065275
2018-04-11,46.9331,0.06188779
2018-04-12,46.4763,0.06244238
2018-04-13,46.2314,0.06267378
2018-04-14,46.3857,0.06285225
2018-04-15,45.3967,0.06368337
2018-04-16,45.5252,0.06350005
2018-04-17,44.9467,0.06365914
2018-04-18,43.5741,0.06431523
2018-04-19,42.3041,0.06848601
2018-04-20,41.0674,0.06972309
2018-04-21,42.3331,0.06830186
2018-04-22,41.9565,0.0705763
2018-04-23,41.7617,0.07195132
2018-04-24,41.8546,0.07304097
2018-04-25,43.4623,0.06939708
2018-04-26,42.5689,0.07143187
2018-04-27,42.4265,0.07225099
