date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd,sma_200d,mayer_multiple,ath_usd,drawdown_pct,halving_number,days_since_halving
2018-09-23,0.282062377919822,29419876221.8261428196612077818492,2.63850886,104302730618.6467986,0.10690219092909242,0.2606562904938165,1.082123809041598,0.880229965321243,-67.9558309723207,2,806
2018-09-24,0.257629627860293,26871473671.0186095655153693695843,2.41937156,104302730606.7081351,0.10648617687325919,0.26040438894709506,0.98934441505375,0.880229965321243,-70.73155447891733,2,807
2018-09-25,0.253189585659941,26413402243.8514000224616442453889,2.38003835,104322625178.3011629,0.10638046469290756,0.26014008457900295,0.97328170731431,0.880229965321243,-71.2359729121993,2,808
2018-09-26,0.244073195698095,25462356505.0886313456929797439835,2.29743286,104322625154.5628693,0.10623735733373946,0.25991863728518394,0.9390369165035932,0.880229965321243,-72.27165566795722,2,809
2018-09-27,0.259257763428099,27046450470.0623028232008962512983,2.43515323,104322625145.0834717,0.1064646611285726,0.2597079033185002,0.9982667455065887,0.880229965321243,-70.54658740986149,2,810
2018-09-28,0.252792235786039,26371949650.811456562220288061487,2.37665375,104322625134.469833,0.10636477264979763,0.25953089080022396,0.9740352487774872,0.880229965321243,-71.28111451036759,2,811
2018-09-29,0.254210665207813,26519923929.1041859317942785620172,2.38950796,104322625124.4202844,0.10638619726875193,0.25938158938544464,0.9800644132458161,0.880229965321243,-71.11997145938585,2,812
2018-09-30,0.259290912002601,27049908608.4788270010740071262679,2.43570311,104322625114.6337279,0.10645423530399031,0.2594531579581678,0.9993746618586429,0.880229965321243,-70.54282151051608,2,813
2018-10-01,0.257107902315371,26822171305.0920999034700238289284,2.41684746,104322625106.2161804,0.10638151830871898,0.2595436661318676,0.9906152060930702,0.880229965321243,-70.79082598357822,2,814
2018-10-02,0.246413661498829,25711421797.3744117405111602031265,2.31924955,104342517541.3685285,0.10624715287702827,0.2596189880082819,0.9491357446126719,0.880229965321243,-72.0057631293091,2,815
